iter	Passed	Remaining
823	16802	3588
824	16820	3567
825	16837	3546
826	16855	3525
827	16875	3505
828	16895	3485
829	16916	3464
830	16937	3444
831	16956	3423
832	16977	3403
833	16999	3383
834	17019	3363
835	17037	3342
836	17055	3321
837	17075	3300
838	17095	3280
839	17112	3259
840	17130	3238
841	17147	3217
842	17166	3197
843	17184	3176
844	17203	3155
845	17221	3134
846	17243	3114
847	17260	3093
848	17279	3073
849	17296	3052
850	17314	3031
851	17332	3010
852	17349	2989
853	17369	2969
854	17389	2949
855	17410	2928
856	17428	2908
857	17446	2887
858	17465	2866
859	17484	2846
860	17501	2825
861	17519	2804
862	17537	2784
863	17555	2763
864	17579	2743
865	17604	2724
866	17621	2703
867	17639	2682
868	17657	2661
869	17679	2641
870	17697	2621
871	17715	2600
872	17734	2579
873	17751	2559
874	17768	2538
875	17787	2517
876	17804	2497
877	17822	2476
878	17840	2455
879	17857	2435
880	17876	2414
881	17896	2394
882	17918	2374
883	17939	2354
884	17958	2333
885	17975	2312
886	17995	2292
887	18014	2272
888	18032	2251
889	18050	2230
890	18069	2210
891	18088	2190
892	18105	2169
893	18125	2149
894	18143	2128
895	18161	2108
896	18180	2087
897	18197	2067
898	18216	2046
899	18236	2026
900	18253	2005
901	18272	1985
902	18290	1964
903	18308	1944
904	18327	1923
905	18345	1903
906	18362	1882
907	18380	1862
908	18398	1841
909	18417	1821
910	18435	1801
911	18453	1780
912	18471	1760
913	18488	1739
914	18506	1719
915	18523	1698
916	18541	1678
917	18559	1657
918	18579	1637
919	18597	1617
920	18615	1596
921	18632	1576
922	18649	1555
923	18666	1535
924	18684	1514
925	18702	1494
926	18719	1474
927	18737	1453
928	18754	1433
929	18773	1413
930	18790	1392
931	18810	1372
932	18828	1352
933	18845	1331
934	18863	1311
935	18885	1291
936	18907	1271
937	18929	1251
938	18949	1231
939	18974	1211
940	18994	1190
941	19013	1170
942	19032	1150
943	19050	1130
944	19069	1109
945	19088	1089
946	19106	1069
947	19123	1048
948	19141	1028
949	19158	1008
950	19175	988
951	19193	967
952	19211	947
953	19229	927
954	19247	906
